funny,beautiful,ingenious,courageous,longwinded,confusing,informative,fascinating,unconvincing,persuasive,jaw_dropping,ok,obnoxious,inspiring,total,positive,negative,talk_id
8,57,21,2,75,18,54,44,49,17,1,66,18,82,512,286,160,366
245,78,217,14,59,58,218,325,42,57,36,85,10,224,1668,1414,169,367
81,72,27,8,80,7,208,141,19,18,16,78,15,116,886,687,121,368
35,15,73,6,42,30,263,122,48,168,20,93,14,164,1093,866,134,369
54,50,39,42,12,3,68,80,9,50,12,31,6,263,719,658,30,370
363,55,75,13,25,12,51,87,25,40,18,38,15,228,1045,930,77,371
2,3,19,6,30,7,67,30,18,37,7,36,8,67,337,238,63,372
26,10,37,9,17,2,168,140,26,46,34,33,16,61,625,531,61,373
2,56,7,19,62,12,42,21,31,41,6,60,25,144,528,338,130,374
58,25,756,9,37,34,185,401,20,34,318,49,79,180,2185,1966,170,375
13,2,32,18,19,43,180,171,45,64,58,21,9,36,711,574,116,376
95,131,18,249,14,3,61,101,2,19,84,23,12,365,1177,1123,31,377
14,4,185,5,9,20,143,155,7,36,109,24,1,42,754,693,37,378
40,227,8,8,7,3,6,82,4,4,114,14,6,112,635,601,20,379
3,10,393,18,29,5,182,176,16,98,67,38,7,180,1222,1127,57,380
160,60,91,187,69,31,735,240,90,633,104,216,65,895,3576,3105,255,381
1754,4027,1329,2239,351,138,738,2093,546,1206,870,553,182,8130,24156,22386,1217,382
48,34,35,12,34,3,27,58,18,8,4,27,11,77,396,303,66,383
43,95,824,24,9,12,187,552,50,54,403,111,8,372,2744,2554,79,384
48,376,356,658,98,38,706,639,118,1859,257,190,48,3420,8811,8319,302,385
506,49,290,114,42,32,751,1271,116,440,967,91,63,528,5260,4916,253,386
7,220,49,146,20,7,34,159,10,119,79,18,0,655,1523,1468,37,387
9,668,47,89,7,2,9,283,5,31,659,11,8,657,2485,2452,22,388
22,262,29,157,18,13,369,246,15,464,216,26,12,785,2634,2550,58,389
5,91,39,61,87,8,151,206,82,133,44,45,23,343,1318,1073,200,390
16,58,328,25,16,4,185,388,3,18,463,31,3,87,1625,1568,26,391
25,6,17,80,5,12,543,100,15,390,447,54,16,156,1866,1764,48,392
28,53,11,37,8,3,103,112,3,2,52,22,6,75,515,473,20,393
9,287,35,167,17,7,35,169,16,9,41,55,7,154,1008,906,47,394
25,15,73,7,27,6,262,147,56,36,14,197,17,118,1000,697,106,395
20,12,16,30,75,21,99,54,99,34,2,90,64,62,678,329,259,396
6,88,331,216,11,8,173,226,8,211,321,3,8,711,2321,2283,35,397
9,93,59,64,11,2,94,104,16,97,32,40,12,298,931,850,41,398
1049,90,213,477,35,30,652,618,41,865,265,75,22,1416,5848,5645,128,399
3,214,86,73,42,46,4,135,89,9,250,49,119,128,1247,902,296,400
308,136,77,10,13,11,196,190,28,80,21,72,4,277,1423,1295,56,401
186,313,2366,237,91,76,1079,2467,158,332,3371,444,87,1819,13026,12170,412,402
135,927,199,673,35,13,182,560,39,164,349,102,40,1497,4915,4686,127,403
52,73,83,38,42,14,375,376,21,261,63,92,7,374,1871,1695,84,404
27,44,218,78,77,44,502,217,55,291,88,161,31,457,2290,1922,207,405
595,50,194,23,44,91,588,336,144,240,24,289,42,102,2762,2152,321,406
307,113,644,253,27,15,1502,1722,27,1101,235,90,11,796,6843,6673,80,407
601,97,181,28,50,19,85,457,19,33,110,68,24,380,2152,1972,112,408
196,77,78,7,23,9,20,63,18,0,5,91,22,53,662,499,72,409
24,196,370,45,11,11,1593,563,52,448,159,158,3,629,4262,4027,77,410
15,22,342,40,5,5,185,177,24,129,71,36,5,234,1290,1215,39,411
12,242,10,183,10,3,133,81,16,167,22,71,3,638,1591,1488,32,412
571,22,103,27,100,21,463,182,34,60,63,94,204,55,1999,1546,359,413
294,723,157,264,204,59,351,499,61,482,141,219,18,3238,6710,6149,342,414
11,12,73,128,9,9,370,282,11,171,76,41,10,133,1336,1256,39,415
5,77,5,5,27,4,4,13,7,3,12,10,5,39,216,163,43,416
14,93,104,60,15,5,164,126,34,169,56,90,26,534,1490,1320,80,417
47,257,32,354,7,5,24,233,9,13,484,36,15,214,1730,1658,36,418
2,44,43,4,12,0,48,15,23,5,1,44,6,22,269,184,41,419
8,27,44,99,61,37,518,360,95,277,208,113,88,95,2030,1636,281,420
3,103,7,34,12,0,21,44,8,12,8,27,5,98,382,330,25,421
0,38,151,57,72,49,279,211,209,168,54,109,85,67,1549,1025,415,422
169,291,802,55,34,18,1690,2710,18,397,1071,85,36,924,8300,8109,106,423
1132,95,306,87,115,77,82,216,63,64,33,145,91,216,2722,2231,346,424
526,34,74,60,19,16,159,85,94,386,14,205,29,290,1991,1628,158,425
25,45,451,276,36,23,403,360,82,869,315,52,14,868,3819,3612,155,426
0,24,25,48,65,17,87,128,46,98,38,46,13,131,766,579,141,427
4,255,193,11,32,69,90,267,161,17,192,78,45,128,1542,1157,307,428
127,68,143,281,145,94,360,290,292,276,77,261,208,944,3566,2566,739,429
28,24,27,38,0,5,111,43,16,44,15,70,4,188,613,518,25,430
22,321,273,32,39,19,247,443,44,70,133,61,38,326,2068,1867,140,431
34,32,137,6,234,6,119,49,62,35,8,142,15,45,924,465,317,432
0,2,79,22,0,7,96,36,17,28,7,60,0,44,398,314,24,433
5,2,19,35,19,25,244,82,132,116,3,76,60,23,841,529,236,434
38,28,13,3,64,21,10,18,15,1,4,33,20,12,280,127,120,435
4,28,36,41,67,13,197,66,253,203,12,86,84,267,1357,854,417,436
14,16,66,3,95,30,363,276,21,98,43,82,18,126,1251,1005,164,437
511,206,182,55,45,10,17,158,12,16,132,47,20,139,1550,1416,87,438
1,0,3,21,31,18,267,63,35,94,69,36,26,7,671,525,110,439
20,32,31,19,9,4,427,153,9,47,33,70,7,129,990,891,29,440
7,15,231,42,22,141,401,366,348,123,107,130,31,45,2009,1337,542,441
14,55,34,42,68,10,107,83,67,126,18,86,17,243,970,722,162,442
0,187,149,5,63,15,18,139,61,3,71,75,16,123,925,695,155,443
5,10,17,73,26,15,302,40,123,263,76,64,43,166,1223,952,207,444
7,49,27,60,94,74,212,72,253,209,7,108,48,179,1399,822,469,445
296,68,195,211,62,22,379,393,105,810,115,153,39,1604,4452,4071,228,446
7,107,35,18,11,25,1,54,27,5,54,32,84,39,499,320,147,447
68,20,115,36,7,21,491,247,9,258,96,42,8,147,1565,1478,45,448
5,37,31,57,34,16,354,85,29,174,28,68,16,259,1193,1030,95,449
66,323,267,27,12,6,0,401,12,17,424,120,14,154,1843,1679,44,450
4,74,79,174,60,14,144,84,30,254,61,35,7,533,1553,1407,111,451
2031,139,1194,97,44,28,2309,2851,27,1448,555,149,14,1069,11955,11693,113,452
4166,213,345,519,184,110,2231,1752,212,100,363,715,209,154,11273,9843,715,453
4,45,11,12,4,5,276,499,19,39,44,65,6,99,1128,1029,34,454
30,28,44,3,6,8,34,26,53,6,16,93,12,35,394,222,79,455
902,47,238,21,22,8,467,494,32,265,55,135,28,322,3036,2811,90,456
87,103,26,45,43,48,595,355,354,249,150,369,96,268,2788,1878,541,457
13,132,13,114,105,12,47,54,128,142,25,128,56,541,1510,1081,301,458
0,34,68,33,6,0,272,140,13,89,31,46,0,141,873,808,19,459
26,561,146,30,32,10,0,245,30,7,399,55,23,238,1802,1652,95,460
4,54,45,158,152,35,100,81,77,290,47,47,29,412,1531,1191,293,461
13,16,71,20,40,34,338,213,72,123,58,89,11,205,1303,1057,157,462
4,266,30,93,29,16,130,103,44,179,89,43,14,397,1437,1291,103,463
28,88,24,51,12,9,2,72,24,1,55,11,28,55,460,376,73,464
4,17,18,33,14,37,87,43,376,53,13,162,29,113,999,381,456,465
6,10,588,9,6,3,214,112,48,127,70,77,8,110,1388,1246,65,466
11,4,148,28,5,11,122,55,35,53,17,47,24,156,716,594,75,467
25,43,13,16,84,64,448,179,98,113,35,169,15,219,1521,1091,261,468
61,95,268,0,4,5,231,567,7,55,265,20,3,166,1747,1708,19,469
307,101,90,177,12,14,315,128,59,346,20,240,15,1278,3102,2762,100,470
41,111,67,62,43,19,315,422,34,135,71,89,47,407,1863,1631,143,471
25,15,79,40,37,17,798,425,31,476,81,124,13,355,2516,2294,98,472
10,12,13,364,65,93,300,129,452,138,47,269,52,136,2080,1149,662,473
5,62,164,31,44,3,379,460,18,111,182,62,17,238,1776,1632,82,474
8,269,90,25,10,33,4,204,40,4,326,85,53,105,1256,1035,136,475
22,33,142,37,26,81,634,336,87,389,47,188,19,493,2534,2133,213,476
0,4,41,23,17,7,162,44,26,184,10,27,6,81,632,549,56,477
3,45,17,27,24,13,76,38,30,84,8,60,7,236,668,534,74,478
8,16,2,104,3,8,15,57,24,24,24,65,165,196,711,446,200,479
159,74,253,183,24,26,490,193,169,1116,60,282,42,499,3570,3027,261,480
82,161,214,89,1,3,75,202,7,104,58,46,1,544,1587,1529,12,481
18,84,43,44,447,244,69,107,885,70,17,128,1361,262,3779,714,2937,482
3,61,8,2,65,94,53,36,38,12,10,58,25,75,540,260,222,483
5,25,92,5,41,76,430,138,150,97,18,205,10,115,1407,925,277,484
5,129,4,285,3,1,66,44,6,5,33,49,5,210,845,781,15,485
121,22,510,38,2,18,154,244,15,68,219,31,7,118,1567,1494,42,486
7,5,43,154,40,53,511,212,273,328,64,72,56,113,1931,1437,422,487
4,78,56,20,95,96,73,95,106,36,13,90,26,134,922,509,323,488
5,22,393,20,3,2,228,144,2,67,37,27,3,129,1082,1045,10,489
316,18,65,48,19,61,461,453,151,55,51,217,19,31,1965,1498,250,490
15,122,59,57,212,39,640,395,84,214,33,193,79,209,2351,1744,414,491
14,51,19,172,72,22,163,59,199,430,82,87,87,711,2168,1701,380,492
1173,662,613,633,65,53,985,1393,70,1759,207,246,35,3458,11352,10883,223,493
253,84,210,10,22,20,63,223,32,12,40,75,14,137,1195,1032,88,494
211,70,155,457,21,531,371,504,2194,646,175,36,1031,278,6680,2867,3777,495
97,197,162,42,114,9,6,287,11,5,404,62,12,118,1526,1318,146,496
34,125,1426,156,23,21,697,650,73,540,869,97,42,1004,5757,5501,159,497
3,5,182,86,40,18,202,131,199,300,42,49,34,282,1573,1233,291,498
3,217,280,31,48,22,408,531,32,227,123,52,25,660,2659,2480,127,499
5,237,8,362,10,9,61,77,19,76,140,36,18,550,1608,1516,56,500
1191,348,1067,483,184,86,4278,3810,133,4772,825,489,152,4797,22615,21571,555,501
29,74,900,42,6,20,491,708,42,136,583,94,23,325,3473,3288,91,502
182,46,225,67,11,12,800,613,6,472,245,26,12,415,3132,3065,41,503
27,166,125,51,59,46,17,134,68,14,67,66,118,175,1133,776,291,504
17,48,72,54,31,5,336,185,30,235,45,74,11,227,1370,1219,77,505
9,26,516,34,11,19,127,156,38,67,65,72,10,207,1357,1207,78,506
2,6,11,24,94,21,58,26,74,98,5,43,18,123,603,353,207,507
19,306,92,12,8,6,164,352,50,22,85,75,9,184,1384,1236,73,508
23,7,19,230,25,6,76,96,19,10,43,67,17,49,687,553,67,509
1,84,43,66,41,10,356,251,83,457,366,30,18,133,1939,1757,152,510
17,36,8,342,14,0,33,91,22,50,208,17,25,328,1191,1113,61,511
356,118,383,85,76,61,1274,1348,72,263,253,221,21,280,4811,4360,230,512
10,171,18,8,49,18,0,73,52,11,41,68,102,46,667,378,221,513
39,4,15,171,42,20,564,281,39,212,127,78,15,37,1644,1450,116,514
269,430,629,82,12,7,144,540,13,80,365,32,18,816,3437,3355,50,515
877,85,235,9,26,18,181,289,41,39,35,105,29,194,2163,1944,114,516
175,344,182,118,190,26,2032,2562,26,160,246,175,15,465,6716,6284,257,517
5,560,19,25,8,8,1,49,22,10,54,104,19,149,1033,872,57,518
364,64,68,30,16,9,237,251,22,156,40,47,12,434,1750,1644,59,519
15,0,19,48,28,31,163,55,115,114,14,62,17,30,711,458,191,520
95,486,522,851,10,15,82,385,7,122,294,47,74,2576,5566,5413,106,521
17,213,189,363,154,35,598,821,74,284,275,202,73,341,3639,3101,336,522
3,43,23,46,24,5,92,32,26,122,22,29,10,232,709,615,65,523
8,19,84,36,43,42,681,335,169,289,51,129,55,143,2084,1646,309,524
1,83,40,30,77,19,284,141,44,158,13,202,6,522,1620,1272,146,525
4,163,14,144,95,13,71,55,141,206,15,95,46,431,1493,1103,295,526
9,22,70,13,28,20,240,247,12,66,68,28,3,79,905,814,63,527
216,192,178,123,80,32,149,224,66,180,29,161,42,913,2585,2204,220,528
43,45,45,36,51,12,474,219,79,247,36,100,15,327,1729,1472,157,529
52,30,115,48,59,38,396,333,128,341,64,134,45,597,2380,1976,270,530
713,5607,744,2817,109,85,2687,2983,103,3002,948,333,78,9566,29775,29067,375,531
175,206,357,13,52,141,896,1429,128,290,347,241,29,283,4587,3996,350,532
168,42,34,9,16,5,97,112,49,35,13,144,34,167,925,677,104,533
8,230,100,15,70,8,268,367,20,37,74,80,16,229,1522,1328,114,534
21,24,174,12,9,6,107,267,44,10,166,89,13,95,1037,876,72,535
2306,65,872,45,23,19,794,884,38,776,145,74,32,843,6916,6730,112,536
6,89,187,26,47,58,368,540,129,73,318,80,27,180,2128,1787,261,537
100,94,114,12,5,19,911,544,13,394,50,117,18,251,2642,2470,55,538
7,8,29,20,40,18,286,98,94,136,11,94,24,157,1022,752,176,539
6,36,186,3,8,3,139,226,29,13,163,79,9,29,929,801,49,540
630,953,306,40,27,30,254,906,31,224,215,61,12,1522,5211,5050,100,541
0,27,493,59,2,4,297,55,28,177,103,26,5,172,1448,1383,39,542
6,10,10,41,28,38,191,96,85,113,28,107,5,112,870,607,156,543
25,41,196,26,167,59,338,256,71,399,45,105,23,149,1900,1475,320,544
5,58,376,43,51,37,230,338,198,86,92,93,42,232,1881,1460,328,545
15,154,7,567,31,37,90,103,120,75,46,140,33,676,2094,1733,221,546
34,116,130,3,76,65,262,322,31,39,32,97,12,116,1335,1054,184,547
48,43,43,36,21,16,6,70,49,4,33,123,68,30,590,313,154,548
8,33,16,36,61,31,325,117,124,115,17,184,15,76,1158,743,231,549
1,0,5,148,0,6,165,6,11,115,36,14,5,43,555,519,22,550
12,21,13,16,28,17,260,108,76,51,36,67,22,38,765,555,143,551
0,69,15,34,7,19,155,68,32,119,50,97,7,88,760,598,65,552
22,14,10,17,3,13,252,143,28,54,16,54,15,92,733,620,59,553
165,761,4743,663,85,83,1904,4403,171,535,8416,341,108,4702,27080,26292,447,554
23,51,153,10,66,36,57,113,71,20,20,63,22,98,803,545,195,555
0,51,7,42,129,16,80,56,85,63,5,99,44,272,949,576,274,556
172,460,350,136,40,57,631,1014,75,504,273,70,33,1178,4993,4718,205,557
6,105,77,8,19,24,316,270,24,26,13,97,14,124,1123,945,81,558
651,100,296,86,7,7,724,773,45,384,298,59,16,480,3926,3792,75,559
3,19,56,64,91,17,260,72,90,227,30,98,30,341,1398,1072,228,560
10,124,469,88,16,11,129,280,95,114,113,50,14,265,1778,1592,136,561
45,110,70,141,33,41,67,68,94,112,24,53,122,219,1199,856,290,562
102,278,163,166,31,6,591,743,27,464,374,82,21,1148,4196,4029,85,563
24,10,11,40,28,17,74,21,86,74,0,52,43,101,581,355,174,564
24,101,44,17,58,41,394,371,41,76,55,128,139,90,1579,1172,279,565
154,188,315,49,9,9,348,379,6,114,165,31,3,504,2274,2216,27,566
38,17,102,0,32,19,130,118,52,16,22,103,16,49,714,492,119,567
2,99,26,1880,9,7,407,76,11,596,590,30,11,1327,5071,5003,38,568
517,15,28,14,57,29,26,25,60,11,19,129,48,6,984,661,194,569
13,88,18,31,74,21,116,135,29,45,5,72,17,180,844,631,141,570
3,19,81,34,5,2,75,54,2,34,40,6,0,170,525,510,9,571
11,37,7,35,11,20,197,56,138,58,15,134,34,94,847,510,203,572
24,16,50,176,37,24,477,317,38,165,155,44,10,71,1604,1451,109,573
3,143,4,176,12,5,66,92,13,39,29,32,5,305,924,857,35,574
705,51,168,47,17,13,325,221,47,250,33,105,21,322,2325,2122,98,575
16,69,63,2,26,3,294,323,4,16,58,27,0,55,956,896,33,576
65,59,111,3,42,11,402,265,44,101,17,154,16,153,1443,1176,113,577
3,20,140,254,21,8,52,38,18,64,44,21,7,246,936,861,54,578
14,12,69,31,6,2,323,179,49,158,28,51,12,119,1053,933,69,579
4,95,11,71,5,3,34,28,25,39,20,32,4,170,541,472,37,580
58,39,56,38,31,12,205,291,19,132,32,83,9,126,1131,977,71,581
11,21,56,33,51,15,123,40,22,62,19,50,23,126,652,491,111,582
10,59,83,186,43,10,64,184,21,146,53,53,23,604,1539,1389,97,583
29,91,271,32,8,8,776,1251,31,238,506,63,5,436,3745,3630,52,584
63,309,113,19,58,8,97,249,26,6,55,107,35,84,1229,995,127,585
43,128,54,47,27,13,1181,861,53,671,122,132,18,1136,4486,4243,111,586
5,56,7,40,14,6,114,72,7,67,19,38,5,111,561,491,32,587
16,145,51,14,16,5,8,68,11,5,80,20,8,84,531,471,40,588
200,264,41,299,15,5,80,107,7,88,172,41,10,892,2221,2143,37,589
342,92,134,37,14,7,532,564,11,161,135,40,9,445,2523,2442,41,590
171,42,6,94,24,7,56,22,47,42,11,64,34,246,866,690,112,591
6,113,25,133,0,5,83,57,3,43,34,24,1,252,779,746,9,592
12,301,138,292,9,14,99,246,41,321,131,58,13,1287,2962,2827,77,593
0,8,36,5,3,2,116,45,8,32,13,51,6,76,401,331,19,594
7,25,3,10,18,4,31,5,1,2,10,14,4,20,154,113,27,595
782,24,174,20,55,80,41,86,47,11,40,78,91,24,1553,1202,273,596
236,111,75,738,38,17,147,913,43,61,897,97,52,722,4147,3900,150,597
2,85,9,2,8,4,75,55,11,11,11,44,7,59,383,309,30,598
9,34,358,36,5,5,310,504,6,57,473,33,6,264,2100,2045,22,599
31,161,103,25,46,17,6,137,32,12,182,48,20,120,940,777,115,600
19,64,47,20,70,3,192,156,112,133,51,21,62,136,1086,818,247,601
351,253,120,219,18,11,91,75,25,202,140,39,49,825,2418,2276,103,602
7,17,74,11,15,5,412,109,77,176,25,80,8,71,1087,902,105,603
1,32,176,15,31,17,52,105,10,45,43,22,12,113,674,582,70,604
44,434,66,549,32,24,111,160,71,192,152,31,111,870,2847,2578,238,605
2,125,370,44,5,1,129,54,6,115,41,34,3,299,1228,1179,15,606
924,87,333,34,9,13,758,558,17,274,86,158,10,513,3774,3567,49,607
969,1288,245,745,40,14,322,422,18,498,371,98,18,3436,8484,8296,90,608
23,14,93,14,51,17,224,129,28,200,25,79,26,125,1048,847,122,609
2,29,199,87,4,13,108,97,8,69,58,8,6,228,916,877,31,610
16,11,313,24,20,9,144,120,10,74,50,33,11,107,942,859,50,611
1,8,59,31,34,44,177,118,52,121,25,42,10,104,826,644,140,612
0,143,68,26,21,0,23,83,16,4,20,28,12,119,563,486,49,613
5,21,21,494,56,9,387,77,23,293,96,65,9,349,1905,1743,97,614
359,470,297,1547,99,69,2606,844,113,3316,1413,249,109,4779,16270,15631,390,615
90,123,459,31,8,16,244,591,28,52,849,103,12,303,2909,2742,64,616
15,21,39,69,56,28,233,88,241,272,25,109,60,286,1542,1048,385,617
15,513,47,562,85,10,158,165,56,249,145,94,29,1125,3253,2979,180,618
38,39,263,224,80,61,962,367,181,728,141,221,78,795,4178,3557,400,619
6,30,55,15,65,46,175,189,141,78,27,101,33,129,1090,704,285,620
17,17,101,269,17,14,263,107,54,758,120,37,19,443,2236,2095,104,621
2,14,113,12,12,5,250,228,16,80,87,33,7,139,998,925,40,622
141,312,302,843,45,39,1432,1357,31,542,341,99,27,2290,7801,7560,142,623
7,75,111,75,19,2,216,217,7,63,48,24,2,332,1198,1144,30,624
282,402,53,229,15,13,24,210,13,43,86,39,9,612,2030,1941,50,625
1342,1194,911,35,12,8,299,1573,14,163,796,73,14,777,7211,7090,48,626
62,64,360,29,85,85,1169,1417,42,543,234,161,7,615,4873,4493,219,627
149,44,28,15,14,9,173,178,24,21,30,46,12,87,830,725,59,628
0,37,271,9,2,11,229,232,67,69,141,50,4,120,1242,1108,84,629
130,163,134,12,14,5,324,362,6,46,50,42,6,306,1600,1527,31,630
24,89,86,164,70,8,228,456,32,158,56,138,48,1033,2590,2294,158,631
26,805,162,78,32,13,27,454,36,27,1093,103,27,543,3426,3215,108,632
132,262,116,92,70,14,402,237,72,481,120,102,11,1374,3485,3216,167,633
4,31,87,19,7,14,219,171,9,144,89,29,11,278,1112,1042,41,634
165,5,216,8,4,16,205,52,63,215,19,59,8,71,1106,956,91,635
562,191,275,118,34,7,746,681,52,694,324,47,16,1227,4974,4818,109,636
208,6,70,35,18,141,74,125,102,49,97,123,60,26,1134,690,321,637
464,35,44,155,91,55,172,88,152,316,85,114,430,758,2959,2117,728,638
18,9,300,52,27,6,165,399,16,69,517,17,10,126,1731,1655,59,639
3,0,68,28,16,4,145,62,19,202,28,24,14,116,729,652,53,640
663,77,98,16,20,0,290,293,0,96,62,11,4,262,1892,1857,24,641
481,185,1137,547,112,93,774,1541,453,1139,511,221,118,2421,9733,8736,776,642
6,32,0,139,35,5,57,136,29,9,137,45,8,180,818,696,77,643
5,92,32,22,117,55,65,139,66,42,12,70,20,197,934,606,258,644
100,157,557,1246,149,128,923,1029,612,2090,348,215,259,1316,9129,7766,1148,645
2,31,3,53,6,0,132,12,14,66,6,40,4,102,471,407,24,646
9,15,227,104,5,2,312,79,10,476,19,84,3,224,1569,1465,20,647
17,21,133,44,14,3,265,318,23,145,107,27,14,222,1353,1272,54,648
11,507,36,55,8,6,74,235,30,85,69,80,32,610,1838,1682,76,649
35,87,16,54,11,6,47,71,32,70,72,31,12,264,808,716,61,650
24,26,14,323,5,3,369,89,15,368,282,30,28,513,2089,2008,51,651
7,122,26,149,11,0,67,75,12,53,41,26,10,543,1142,1083,33,652
2,7,43,23,13,17,261,84,230,117,13,207,62,56,1135,606,322,653
1660,238,929,312,11,19,729,827,45,1050,210,226,32,2417,8705,8372,107,654
649,478,406,826,146,77,276,778,119,782,825,302,143,2141,7948,7161,485,655
372,18,187,47,74,33,346,327,103,154,151,105,97,179,2193,1781,307,656
268,27,100,245,16,23,667,175,12,712,94,53,46,205,2643,2493,97,657
0,132,103,139,40,2,56,103,8,98,178,21,6,508,1394,1317,56,658
107,53,552,40,49,13,378,508,30,69,236,128,46,522,2731,2465,138,659
41,224,40,5,7,0,259,252,0,10,36,43,2,38,957,905,9,660
16,875,143,42,10,9,39,191,6,16,163,33,25,388,1956,1873,50,661
76,41,94,702,110,80,962,264,564,1406,107,158,356,709,5629,4361,1110,662
1,184,20,90,15,9,182,168,71,215,71,158,48,527,1759,1458,143,663
94,12,87,12,2,18,297,109,9,148,16,45,11,134,994,909,40,664
1,63,16,36,64,21,102,49,53,29,9,77,26,125,671,430,164,665
37,519,199,19,12,2,8,198,16,18,275,40,9,293,1645,1566,39,666
16,223,69,16,10,0,196,353,3,35,187,15,1,130,1254,1225,14,667
1071,44,224,328,188,27,757,389,225,999,121,195,194,357,5119,4290,634,668
5,8,182,28,1,0,83,66,6,46,31,18,3,109,586,558,10,669
360,62,299,30,16,19,587,447,17,336,61,116,4,617,2971,2799,56,670
137,8,74,28,4,2,373,53,26,271,13,52,5,217,1263,1174,37,671
9,115,22,196,38,15,87,75,43,114,18,37,16,362,1147,998,112,672
14,91,596,94,68,129,334,781,96,101,476,73,74,403,3330,2890,367,673
17,44,5,289,17,0,51,88,7,57,52,30,8,344,1009,947,32,674
20,20,115,17,154,53,241,135,71,128,12,114,16,188,1284,876,294,675
5552,119,1746,210,31,25,937,755,89,245,212,272,79,255,10527,10031,224,676
3,21,119,60,9,11,369,181,25,444,42,45,0,363,1692,1602,45,677
390,1640,3413,1161,390,112,6600,7440,930,8845,2659,1341,294,21564,56779,53712,1726,678
4,11,9,119,47,5,468,142,14,526,364,38,15,150,1912,1793,81,679
3,43,119,44,36,8,121,116,11,71,48,25,3,348,996,913,58,680
9,177,13,7,9,8,3,21,26,5,17,80,22,48,445,300,65,681
36,61,224,41,86,52,762,758,123,413,102,207,23,555,3443,2952,284,682
121,20,682,14,10,5,120,362,32,60,428,24,15,138,2031,1945,62,683
6,33,20,17,13,5,168,86,8,195,46,16,6,138,757,709,32,684
263,78,633,151,19,17,856,432,50,1224,104,76,16,1327,5246,5068,102,685
4025,245,247,218,23,14,135,147,45,36,115,251,71,161,5733,5329,153,686
264,346,182,178,8,13,253,303,12,455,124,59,13,1673,3883,3778,46,687
29,119,653,260,20,35,2364,1576,69,1771,968,170,27,1712,9773,9452,151,688
138,47,242,109,30,18,455,115,204,975,29,438,88,780,3668,2890,340,689
37,51,5,17,16,3,125,73,12,63,20,28,11,81,542,472,42,690
25,10,87,36,39,60,324,143,350,155,23,176,46,183,1657,986,495,691
4,30,251,46,98,54,240,355,28,28,538,41,11,180,1904,1672,191,692
3000,1248,1116,885,71,34,1237,2199,83,2876,865,208,38,7631,21491,21057,226,693
128,37,95,48,16,2,518,269,42,381,55,53,25,194,1863,1725,85,694
5,18,11,453,7,17,523,115,37,186,346,77,34,67,1896,1724,95,695
0,7,96,14,34,7,264,140,48,56,50,41,21,69,847,696,110,696
4,206,9,9,15,4,1,50,13,4,57,37,19,70,498,410,51,697
50,5,36,48,41,40,133,31,66,172,9,30,47,61,769,545,194,698
7,72,428,24,42,44,203,479,139,59,514,112,14,294,2431,2080,239,699
7,744,16,175,27,9,760,431,29,667,313,57,23,939,4197,4052,88,700
455,39,150,240,14,34,283,369,89,88,81,135,37,161,2175,1866,174,701
16,509,34,42,30,14,240,436,34,294,121,69,15,833,2687,2525,93,702
300,95,337,24,31,7,28,188,16,9,208,72,21,114,1450,1303,75,703
69,60,145,89,28,29,287,263,44,519,30,91,11,439,2104,1901,112,704
33,84,57,75,4,3,115,58,0,94,34,19,0,337,913,887,7,705
540,26,365,30,25,16,350,280,23,489,29,74,9,420,2676,2529,73,706
22,17,40,44,11,33,585,129,53,258,27,70,17,87,1393,1209,114,707
29,80,146,20,44,18,362,373,33,153,23,107,12,168,1568,1354,107,708
475,31,139,27,60,38,818,522,127,429,84,140,98,116,3104,2641,323,709
28,34,73,16,20,15,485,136,92,165,49,111,54,115,1393,1101,181,710
4,54,14,9,18,7,262,175,4,102,28,33,3,103,816,751,32,711
73,77,207,171,55,27,308,281,107,529,129,97,176,1184,3421,2959,365,712
3,273,13,296,18,5,19,84,12,32,70,26,23,397,1271,1187,58,713
43,326,203,206,78,24,477,446,109,742,103,184,55,2201,5197,4747,266,714
35,471,83,51,65,11,32,198,48,38,60,68,87,477,1724,1445,211,715
16,18,55,56,42,6,222,132,16,197,23,71,10,299,1163,1018,74,716
2,65,224,69,12,10,551,366,48,309,456,46,10,445,2613,2487,80,717
618,43,57,21,41,32,76,118,78,13,22,204,110,75,1508,1043,261,718
20,24,105,24,15,14,411,245,30,358,28,114,14,444,1846,1659,73,719
0,13,73,22,68,27,339,111,49,214,8,71,18,184,1197,964,162,720
5,8,3,29,11,5,230,28,10,141,23,36,10,71,610,538,36,721
10,691,154,20,24,24,469,668,24,44,346,174,7,402,3057,2804,79,722
216,40,366,69,6,41,114,269,160,32,193,87,46,189,1828,1488,253,723
66,319,225,7,69,107,241,482,16,45,88,84,2,220,1971,1693,194,724
39,16,62,61,48,45,322,70,89,236,14,121,73,225,1421,1045,255,725
2,78,92,114,12,24,125,87,189,116,20,130,45,306,1340,940,270,726
187,111,339,74,18,30,1167,766,88,866,156,134,22,679,4637,4345,158,727
3,44,12,335,58,10,336,78,68,394,177,69,35,252,1871,1631,171,728
259,121,539,68,39,20,981,1331,44,762,274,133,21,1124,5716,5459,124,729
44,14,60,50,21,6,367,204,20,301,20,71,16,371,1565,1431,63,730
77,1293,194,496,80,28,336,980,73,437,204,192,32,2251,6673,6268,213,731
57,81,179,1915,29,26,845,575,75,387,415,140,71,1089,5884,5543,201,732
178,180,205,274,29,34,138,191,151,136,62,56,39,605,2278,1969,253,733
